         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
MAR15      ----      ----      ----      ----     45052    -166                  45218
JUN15      ----      ----      ----      ----     45112    -166                  45278
SEP15      ----      ----      ----      ----     45190    -166                  45356
DEC15      ----      ----      ----      ----     45302    -170                  45472
MAR16      ----      ----      ----      ----     45464    -172                  45636
CNH Standard-Size USD/Offshore RMB (CNH) Futures
NOV14      ----    6.1391B     ----      ----    6.1328  +.0009                 6.1319                      10
DEC14    6.1468    6.1548B   6.1460A     ----    6.1470  +.0006           1     6.1464          11         258
JAN15      ----    6.1722B     ----      ----    6.1658  -.0002                 6.1660                      21
FEB15      ----    6.1873B     ----      ----    6.1802  -.0008                 6.1810
MAR15      ----    6.2004B     ----      ----    6.1934  -.0008                 6.1942                      65
APR15      ----      ----      ----      ----    6.2064  -.0010                 6.2074
MAY15      ----      ----      ----      ----    6.2225  -.0012                 6.2237
JUN15      ----    6.2404B     ----      ----    6.2337  -.0015                 6.2352                       2
JLY15      ----      ----      ----      ----    6.2450  -.0018                 6.2468
AUG15      ----      ----      ----      ----    6.2589  -.0021                 6.2610
SEP15    6.2736    6.2749B   6.2687A     ----    6.2683  -.0022          20     6.2705                       6
OCT15      ----      ----      ----      ----    6.2801  -.0022                 6.2823
NOV15      ----      ----      ----      ----    6.2894  -.0023                 6.2917
DEC15      ----      ----      ----      ----    6.2988  -.0023                 6.3011                       1
MAR16      ----      ----      ----      ----    6.3293  -.0025                 6.3318
JUN16      ----      ----      ----      ----    6.3598  -.0027                 6.3625
SEP16      ----      ----      ----      ----    6.3926  -.0029                 6.3955
DEC16      ----      ----      ----      ----    6.4231  -.0030                 6.4261
MAR17      ----      ----      ----      ----    6.4513  -.0031                 6.4544
JUN17      ----      ----      ----      ----    6.4841  -.0034                 6.4875
SEP17      ----      ----      ----      ----    6.5146  -.0035                 6.5181
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    21                     11         363
CNY Standard USD/RMB Reminbi Future
NOV14      ----      ----      ----      ----   6.13570 -.00190                6.13760
DEC14      ----      ----      ----      ----   6.15230 -.00040                6.15270
JAN15      ----      ----      ----      ----   6.15950 -.00310                6.16260
FEB15      ----      ----      ----      ----   6.16900 -.00350                6.17250
MAR15      ----      ----      ----      ----   6.17930 -.00270                6.18200
APR15      ----      ----      ----      ----   6.19000 -.00160                6.19160
MAY15      ----      ----      ----      ----   6.20310 -.00080                6.20390
JUN15      ----      ----      ----      ----   6.21350 -.00040                6.21390
JLY15      ----      ----      ----      ----   6.22390    UNCH                6.22390
AUG15      ----      ----      ----      ----   6.23670    UNCH                6.23670
SEP15      ----      ----      ----      ----   6.24730    UNCH                6.24730
OCT15      ----      ----      ----      ----   6.26020    UNCH                6.26020
NOV15      ----      ----      ----      ----   6.27080 +.00040                6.27040
DEC15      ----      ----      ----      ----   6.27980 +.00080                6.27900
MAR16      ----      ----      ----      ----   6.31030 +.00310                6.30720
JUN16      ----      ----      ----      ----   6.34030 +.00520                6.33510
SEP16      ----      ----      ----      ----   6.37310 +.00770                6.36540
DEC16      ----      ----      ----      ----   6.40080 +.00900                6.39180
MAR17      ----      ----      ----      ----   6.42300 +.00950                6.41350
JUN17      ----      ----      ----      ----   6.44830 +.00910                6.43920
SEP17      ----      ----      ----      ----   6.47210 +.00960                6.46250
E7 CME E-MINI EURO FX FUTURES
DEC14    1.2476    1.2501    1.2422    1.2441    1.2435  -.0032        3752     1.2467        3188        7673
MAR15    1.2475    1.2507B   1.2431A   1.2450    1.2443  -.0032          37     1.2475          53         253
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                  3789                   3241        7926
EAD CME EURO FX/AUSTRALIAN DOLLAR CROSSRATE FUTURES
DEC14    1.4370    1.4418B   1.4286A   1.4303B   1.4301  -.0110          75     1.4411          15        1009
MAR15      ----      ----    1.4440A   1.4440A   1.4407  -.0111                 1.4518
JUN15      ----      ----      ----      ----    1.4514  -.0112                 1.4626
SEP15      ----      ----      ----      ----    1.4625  -.0113                 1.4738
DEC15      ----      ----      ----      ----    1.4733  -.0113                 1.4846
MAR16      ----      ----      ----      ----    1.4857  -.0113                 1.4970
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    75                     15        1009
EC CME EURO FX FUTURES
DEC14    1.2477    1.2501    1.2422      ----    1.2435  -.0032      234129     1.2467      166508      454422
MAR15    1.2487    1.2509    1.2431      ----    1.2443  -.0032        1647     1.2475        1060        8463
JUN15    1.2491    1.2515B   1.2441A     ----    1.2453  -.0032          36     1.2485          69         996
